Código,Nombre,SubCategoría,Costo,Precio
7503033076842,BIG COLA 300ML,AJE,$6.083,$8.000
7503027753186,BIG COLA 911ML,AJE,$13.000,$16.000
813962527061,AGUA DOÑA VITA 1.5 LT,AJE,$3.596,$10.000
813962512036,AGUA DOÑA VITA 500 ML,AJE,$2.770,$7.000
7503033076989,BIG COLA 1.5 LT,AJE,$15.667,$20.000
7503033076958,BIG COLA 500ML,AJE,$8.667,$11.000
7503033076941,BIG COLA 300ML,AJE,$5.389,$6.000
7503037623691,VIDA AGUA NATURAL 3 LT,AJE,$13.000,$20.000
7503018023953,SANGRIA SEÑORIAL SIN AZUCAR 600 ML,AJE,$11.500,$15.000
7503018023779,SANGRIA SEÑORIAL 355ML,AJE,$9.000,$13.000
7500326103322,SANGRIA SEÑORIAL 1 LT,AJE,$21.000,$23.000
7503030524056,CITRUS  PUNCH 3 LT CITRICOS,AJE,$25.000,$26.000
7500326103339,SANGRIA SEÑORIAL 2 L,AJE,$29.380,$28.000
7506241202478,AQUA AJE 1.5 L,AJE,$9.000,$9.000
7506241202461,AQUA AJE 1 LITRO,AJE,$7.000,$7.000
7506241203543,CITRUS PUNCH 3.3 L,AJE,$21.000,$25.000
7503027753353,AQUA 625 ML,AJE,$6.000,$5.000
7506241202447,AQUA AJE 360 ML,AJE,$4.000,$4.000
7500326103551,TREBOL LIMON 600ML,AJE,$9.000,$11.000
7500326103582,TREBOL MANZANA 600ML,AJE,$9.000,$11.000
7500326103568,TREBOL FRESA 600ML,AJE,$9.000,$11.000
7500326103346,SANGRIA SEÑORIAL 2.6 LT,AJE,$35.333,$45.000
7500326103360,SANGRIA SEÑORIAL 600 ML,AJE,$13.750,$18.000
7501055905034,ALPURA SELECTA 100% VACA 1 LT,ALPURA,$0.000,$30.000
7501055917556,ALPURA YOGURT BEBIBLE PIÑA Y COCO 245GR,ALPURA,$0.000,$15.000
7501055917525,ALPURA YOGURT BEBIBLE MANZANA 245GR,ALPURA,$0.000,$15.000
7501055900022,ALPURA CLASICA FRESCA 1LT,ALPURA,$0.000,$27.000
